,ROUTE_SHORT_NAME,STOP_ID,DIR,SEQ,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S,Route,STOP,Boardings,Alightings,STOP NAME
26,F,4513,1,41.0,8.062925170068027,0.0,0.0,37.795105,-122.393861,0.0,120.37999999999994,120.37999999999994,12.642000000000001,6.3,6.3,,,,,
33,F,4532,1,42.0,8.062925170068027,0.0,0.0,37.797085,-122.39567,0.0,191.18000000000004,191.18000000000004,24.84299999999999,7.8,7.8,,,,,
24,F,4503,1,43.0,8.062925170068027,0.0,0.0,37.799552,-122.397869,0.0,236.64,236.64,30.57600000000002,7.75,7.75,,,,,
29,F,4517,1,44.0,8.062925170068027,0.0,0.0,37.801264,-122.399369,0.0,162.51999999999992,162.51999999999992,21.168000000000003,7.81,7.81,,,,,
27,F,4515,1,45.0,8.062925170068027,0.0,0.0,37.803263,-122.401113,0.0,189.36000000000013,189.36000000000013,24.69600000000001,7.830000000000001,7.830000000000001,,,,,
97,F,7281,1,46.0,8.062925170068027,0.0,0.0,37.805146,-122.403233,0.0,196.56999999999985,196.56999999999985,25.578000000000014,7.81,7.81,,,,,
22,F,4501,1,47.0,8.062925170068027,0.0,0.0,37.806945,-122.406278,0.0,233.9,233.9,30.57600000000002,7.84,7.84,,,,,
32,F,4530,1,48.0,8.062925170068027,0.0,0.0,37.808351,-122.410287,0.0,277.9,277.9,35.280000000000015,7.62,7.62,,,,,
39,F,5174,1,49.0,8.057823129251702,0.0,0.0,37.808594,-122.413357,0.0,350.9000000000001,350.9000000000001,24.84299999999999,4.25,4.25,,,,,
40,F,5175,1,50.0,8.05421768707483,0.0,0.0,37.80832,-122.41551399999999,0.0,247.31000000000006,247.31000000000006,17.640000000000008,4.28,4.28,,,,,
42,F,5184,1,51.0,8.049319727891156,1.0,0.0,37.807248,-122.417366,0.0,338.83000000000015,338.83000000000015,18.375,3.25,3.25,,,,,
146,J,7162,0,17.0,12.24291666666667,1.0,0.0,37.769463,-122.429133,0.0,327.0,327.0,72.81199999999998,13.36,13.36,,,,,
111,J,4001,0,29.0,11.93641456582633,0.0,0.0,37.742097,-122.426528,0.0,38.080000000000005,38.080000000000005,5.950000000000001,9.38,9.38,,,,,
147,J,7162,1,45.0,16.84668989547038,1.0,0.0,37.769463,-122.429133,0.0,18.49999999999999,18.49999999999999,1.331,4.32,4.32,,,,,
221,KT,7380,0,24.0,15.395833333333334,0.0,0.0,37.78957,-122.388489,0.0,201.60000000000002,201.60000000000002,41.03999999999999,12.21,12.21,,,,,
200,KT,7217,0,27.0,16.002070511903057,1.0,0.0,37.793152,-122.396431,0.0,509.3666666666666,509.3666666666666,48.963333333333345,5.77,5.77,KT-INGLESIDE/THIRD,Embarc Sta,,,Metro Embarcadero Station
185,KT,6992,1,59.0,22.88481540764454,1.0,0.0,37.793143,-122.396396,0.0,207.61333333333332,207.61333333333332,53.02633333333332,15.323333333333332,15.323333333333332,KT-INGLESIDE/THIRD,Embar Sta,,,Metro Embarcadero Station
222,KT,7380,1,61.0,16.933473389355743,0.0,0.0,37.78957,-122.388489,0.0,86.87000000000003,86.87000000000003,10.828999999999999,7.48,7.48,,,,,
283,L,6739,0,35.0,10.219675925925927,0.0,0.0,37.740973,-122.46585799999998,0.0,174.4766666666667,174.4766666666667,72.68799999999997,25.19666666666667,25.19666666666667,L-TARAVAL,West PortalStat,,,West Portal Station
425,N,7380,0,9.0,14.358778625954194,0.0,0.0,37.78957,-122.388489,0.0,214.02999999999997,214.02999999999997,44.80199999999998,12.56,12.56,,,,,
421,N,7217,0,12.0,12.672519083969462,0.0,0.0,37.793152,-122.396431,0.0,539.6533333333332,539.6533333333332,51.874666666666684,5.77,5.77,N-JUDAH,EmbarcaderoSta,,,Metro Embarcadero Station
361,N,4447,0,38.0,12.161950770646422,0.0,0.3333333333333333,37.769472,-122.42940800000001,0.0,139.4733333333333,139.4733333333333,30.80333333333333,12.996666666666664,12.996666666666664,N-JUDAH,Duboce&Church,,,Duboce Ave & Church St
423,N,7252,0,39.0,12.162088796871407,0.0,0.0,37.769392,-122.433694,0.0,161.9933333333333,161.9933333333333,32.43000000000001,12.013333333333334,12.013333333333334,,,,,
