,ROUTE_SHORT_NAME,STOP_ID,DIR,SEQ,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S,Route,STOP,Boardings,Alightings,STOP NAME
104,J,3994,1,37.0,16.233844522549813,0.0,0.0,37.754785,-122.427659,0.0,203.51666666666665,203.51666666666665,26.814666666666668,7.906666666666666,7.906666666666666,J-CHURCH,Church&22nd,211,39,Church St & 22nd St
128,J,6217,1,38.0,16.23477624317229,0.0,0.0,37.756436,-122.426822,0.0,116.14000000000003,116.14000000000003,14.924000000000007,7.706666666666667,7.706666666666667,J-CHURCH,ROW&21st,106,18,Right Of Way/21st St
131,J,6222,1,39.0,16.235064235731148,0.0,0.0,37.757239,-122.426867,0.0,50.87666666666667,50.87666666666667,6.673333333333335,7.866666666666667,7.866666666666667,J-CHURCH,ROW&Liberty,53,11,Right Of Way/Liberty St
126,J,6215,1,40.0,16.23571840148591,0.0,0.0,37.758229,-122.427795,0.0,91.0833333333333,91.0833333333333,10.31333333333333,6.796666666666667,6.796666666666667,J-CHURCH,ROW&20th,191,80,Right Of Way/20th St
124,J,6213,1,41.0,16.23720915448188,0.0,0.0,37.761192,-122.428184,0.0,187.30666666666662,187.30666666666662,24.873333333333335,7.966666666666666,7.966666666666666,J-CHURCH,ROW&18th,386,234,Right Of Way/18th St
102,J,3985,1,42.0,16.238964432239396,0.0,0.0,37.764382,-122.428609,0.0,205.39999999999995,205.39999999999995,26.814666666666668,7.836666666666666,7.836666666666666,J-CHURCH,Church&16th,198,239,Church St & 16th St
145,J,7073,1,43.0,16.240370489545228,0.0,0.0,37.76735466666667,-122.42885100000001,0.0,187.30666666666662,187.30666666666662,24.914666666666676,7.9799999999999995,7.9799999999999995,J-CHURCH,Church&Market,285,389,Church St & Market St
115,J,4006,1,44.0,16.241226306397692,0.3333333333333333,0.0,37.769302,-122.429087,0.0,124.51333333333338,124.51333333333338,16.37933333333334,7.890000000000001,7.890000000000001,J-CHURCH,Duboce&Church,642,385,Church St & Duboce Ave
147,J,7162,1,45.0,16.84668989547038,1.0,0.0,37.769463,-122.429133,0.0,18.49999999999999,18.49999999999999,1.331,4.32,4.32,,,,,
119,J,5419,1,47.0,11.447265587479166,0.0,0.3333333333333333,37.775069,-122.419193,0.0,460.41,460.41,76.004,9.91,9.91,J-CHURCH,Van Ness Sta,671,469,Van Ness Station Outbound
122,J,5727,1,48.0,10.79171012431521,0.0,0.0,37.778542,-122.414813,0.0,146.13,146.13,38.08100000000001,15.636666666666668,15.636666666666668,J-CHURCH,CivicCenter Sta,417,647,Metro Civic Center Station/Downtn
