,STOP_ID,ROUTE_SHORT_NAME,DIR,STOP NAME,SEQ,Stop Latitude, Total Alightings ,Stop Longitude, Total Boardings ,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S,geometry
41,4004,J,0,Church St & Day St,18,37.742813,470.5,-122.42666,87.8,11.27232143,0,0,37.742811,-122.426654,0,287.77,287.77,32.368,6.75,6.75,POINT (-122.426654 37.742811)
11,3538,J,0,30th St & Dolores St,19,37.74217,150.1,-122.42445,50.3,11.27388393,0,0,37.74217,-122.424457,0,102.87,102.87,14.336,8.36,8.36,POINT (-122.424457 37.74217)
169,6280,J,0,San Jose Ave & Randall St,20,37.739384,170.5,-122.42432,57.3,11.27633929,0,0,37.739385,-122.42432,0,174.99,174.99,21.504,7.37,7.37,POINT (-122.42432 37.739385)
52,4788,J,0,San Jose Ave/Glen Park Station,21,37.7324,124.9,-122.43385,65.6,11.28357143,0,0,37.732401,-122.433855,0,467.42,467.42,79.52,10.21,10.21,POINT (-122.433855 37.732401)
171,6285,J,0,San Jose Ave & Santa Rosa Ave,22,37.728996,191.7,-122.44002,39.1,11.28776786,0,0,37.728996,-122.440016,0,272.23,272.23,46.032,10.15,10.15,POINT (-122.440016 37.728996)
172,6287,J,0,San Jose Ave & Santa Ynez Ave,23,37.725876,121.4,-122.44236,26.3,11.29044643,0,0,37.725877,-122.442359,0,160.05,160.05,28,10.5,10.5,POINT (-122.442359 37.725877)
166,6274,J,0,San Jose Ave & Ocean Ave,24,37.723083,267.1,-122.444695,16.4,11.29285714,0,0,37.723085,-122.444699,0,148.52,148.52,25.872,10.45,10.45,POINT (-122.444699 37.723085)
260,7155,J,0,SAN JOSE AVE & GENEVA AVE,25,37.72191,261.6,-122.44744,1.9,11.29464286,1,0,37.721907,-122.447436,0,138.35,138.35,19.152,8.31,8.31,POINT (-122.447436 37.721907)
38,4001,J,0,Church St & 30th St,,37.742096,77.8,-122.42653,22.4,,,,,,,,,,,,POINT (nan nan)
306,7778,J,1,San Jose Ave & Geneva Ave,1,37.72124,2.8,-122.44622,416.5,16.40707965,0,1,37.721238,-122.446222,0,0,0,0,0,0,POINT (-122.446222 37.721238)
167,6275,J,1,San Jose Ave & Ocean Ave,2,37.722862,20.9,-122.44479,338.3,16.40831858,0,0,37.722862,-122.44479,0,71.88,71.88,15.481,12.92,12.92,POINT (-122.44479 37.722862)
173,6288,J,1,San Jose Ave & Santa Ynez Ave,3,37.72568,48.6,-122.44244,181.2,16.41045512,0,0,37.725681,-122.442442,0,122.29,122.29,26.329,12.92,12.92,POINT (-122.442442 37.725681)
170,6284,J,1,San Jose Ave & Santa Rosa Ave,4,37.728992,34,-122.43992,245,16.41288243,0,0,37.728991,-122.439922,0,139.57,139.57,30.171,12.97,12.97,POINT (-122.439922 37.728991)
51,4787,J,1,San Jose Ave/Glen Park Station,5,37.732525,114.3,-122.43342,113.6,16.41692794,0,0,37.732525,-122.433416,0,232.79,232.79,48.816,12.58,12.58,POINT (-122.433416 37.732525)
168,6277,J,1,San Jose Ave & Randall St,6,37.73974,91,-122.42416,139.6,16.42360303,0,0,37.739741,-122.424157,0,382.23,382.23,80.23,12.59,12.59,POINT (-122.424157 37.739741)
10,3537,J,1,30th St & Dolores St,7,37.742306,101.4,-122.42403,249,16.42562579,0,0,37.742304,-122.424026,0,116.96,116.96,20.001,10.26,10.26,POINT (-122.424026 37.742304)
37,4000,J,1,Church St & 30th St,8,37.742226,39,-122.42645,351.5,16.42730721,0,0,37.742222,-122.426459,0,81.28,81.28,15.029,11.09,11.09,POINT (-122.426459 37.742222)
36,3999,J,1,Church St & 29th St,9,37.743587,27,-122.42658,356,16.4274842,0,0,37.743587,-122.426585,0,74.48,74.48,10.622,8.56,8.56,POINT (-122.426585 37.743587)
35,3998,J,1,Church St & 27th St,10,37.74678,36.7,-122.426895,426.1,16.42757269,0,0,37.746781,-122.426893,0,176.04,176.04,24.973,8.51,8.51,POINT (-122.426893 37.746781)
40,4003,J,1,Church St & Clipper St,11,37.749184,49.7,-122.42712,285.7,16.42757269,0,0,37.749182,-122.427122,0,132.01,132.01,18.758,8.53,8.53,POINT (-122.427122 37.749182)
33,3996,J,1,Church St & 24th St,12,37.75159,201.4,-122.42735,687.2,16.42730721,0,0,37.751591,-122.42735,0,137.58,137.58,18.871,8.23,8.23,POINT (-122.42735 37.751591)
31,3994,J,1,Church St & 22nd St,13,37.754784,118.5,-122.42766,282.2,16.42881163,0,0,37.754785,-122.427659,0,161.97,161.97,24.973,9.25,9.25,POINT (-122.427659 37.754785)
151,6217,J,1,Right Of Way/21st St,14,37.756435,40.2,-122.42683,108.2,16.42969659,0,0,37.756436,-122.426822,0,93.88,93.88,13.899,8.88,8.88,POINT (-122.426822 37.756436)
156,6222,J,1,Right Of Way/Liberty St,15,37.75724,18,-122.426865,81,16.42996207,0,0,37.757239,-122.426867,0,40.63,40.63,6.215,9.18,9.18,POINT (-122.426867 37.757239)
149,6215,J,1,Right Of Way/20th St,16,37.75823,152.6,-122.427795,295.7,16.43058154,0,0,37.758229,-122.427795,0,72.88,72.88,9.605,7.91,7.91,POINT (-122.427795 37.758229)
147,6213,J,1,Right Of Way/18th St,17,37.761192,420.2,-122.428185,744.5,16.43190898,0,0,37.761192,-122.428184,0,149.98,149.98,23.165,9.27,9.27,POINT (-122.428184 37.761192)
29,3985,J,1,Church St & 16th St,18,37.764385,300.1,-122.42861,336.7,16.4335019,0,0,37.764382,-122.428609,0,164.59,164.59,24.973,9.1,9.1,POINT (-122.428609 37.764382)
250,7073,J,1,Church St & Market St,19,37.76751,425.6,-122.428925,487.6,16.43500632,0,0,37.767509,-122.428927,0,158.55,158.55,24.408,9.24,9.24,POINT (-122.428927 37.767509)
42,4006,J,1,Church St & Duboce Ave,20,37.769302,543.3,-122.429085,521.2,16.43615676,1,0,37.769302,-122.429087,0,97.16,97.16,14.012,8.65,8.65,POINT (-122.429087 37.769302)
102,5419,J,1,Metro Van Ness Station,21,37.775127,587.9,-122.41925,796.8,11.24299065,0,0,37.775127,-122.419252,0,461,461,71.904,9.36,9.36,POINT (-122.419252 37.775127)
110,5727,J,1,Metro Civic Center Station/Downtn,22,37.778545,778.7,-122.41482,319.6,11.24299065,0,0,37.778542,-122.414813,0,102.85,102.85,36.166,21.1,21.1,POINT (-122.414813 37.778542)
96,5417,J,1,Metro Powell Station/Downtown,23,37.7842,1170.7,-122.4077,348.9,11.24299065,0,0,37.784199,-122.407695,0,169.79,169.79,58.957,20.83,20.83,POINT (-122.407695 37.784199)
121,5731,J,1,Metro Montgomery Station/Downtown,24,37.788704,1601.6,-122.40193,111.8,11.24299065,0,0,37.788702,-122.401925,0,135.25,135.25,47.401,21.03,21.03,POINT (-122.401925 37.788702)
218,6992,J,1,Metro Embarcadero Station,25,37.793137,1299.6,-122.39643,,11.24299065,1,0,37.793134,-122.396431,0,133.11,133.11,45.903,20.69,20.69,POINT (-122.396431 37.793134)
298,7398,KT,0,Bay Shore Blvd & Sunnydale Ave,1,37.708942,,-122.40504,288.6,17.3796748,0,1,37.708944,-122.405044,0,0,0,0,0,0,POINT (-122.405044 37.708944)
