,ROUTE_SHORT_NAME,STOP_ID,DIR,SEQ,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S,Route,STOP,Boardings,Alightings,STOP NAME
333,M,6739,0,35,10.97739569,0,0,37.740973,-122.465858,0,174.8333333,174.8333333,66.11733333,22.69,22.69,M-OCEAN VIEW,West Portal Sta,808,"1,086",West Portal Station
344,M,7058,0,36,10.97739569,0,0,37.740884,-122.46588,0,109.3333333,109.3333333,0.65,0.356666667,0.356666667,M-OCEAN VIEW,WestPortal&Ulloa,11,19,West Portal Ave & Ulloa St
349,M,7125,0,57,10.97739569,0,0,37.738064,-122.468984,0,203.41,203.41,27.95,8.246666667,8.246666667,M-OCEAN VIEW,West Portal&14th,200,131,West Portal Ave & 14th Ave
332,M,6503,0,58,10.97739569,0,0,37.734807,-122.471618,0,213.59,213.59,28.925,8.126666667,8.126666667,M-OCEAN VIEW,St.FrancisCircle,141,238,West Portal/Sloat/St Francis Circle
323,M,6223,0,69,10.97739569,0,0,37.732022,-122.473719,0,195,195,24.26666667,7.47,7.47,M-OCEAN VIEW,ROW&Ocean,69,134,Right Of Way/Ocean Ave
321,M,6219,0,70,10.97739569,0,0,37.73119,-122.47435,0,57.41666667,57.41666667,7.258333333,7.58,7.58,M-OCEAN VIEW,ROW&Eucalyptus,77,227,Right Of Way/Eucalyptus Dr
303,M,3403,0,71,10.97739569,0,0,37.727017,-122.474937,0,256.75,256.75,31.41666667,7.34,7.34,M-OCEAN VIEW,19th&Winston,368,988,19th Ave & Winston Dr
298,M,3358,0,72,10.97739569,0,0,37.721128,-122.475302,0,357.5,357.5,44.09166667,7.4,7.4,M-OCEAN VIEW,19th&Holloway,769,"3,052",19th Ave & Holloway Ave
300,M,3376,0,73,10.98016744,0,0,37.7162,-122.47167,0,374.0433333,374.0433333,42.68333333,6.843333333,6.843333333,M-OCEAN VIEW,19th&N Randolph,64,214,19th Ave & Randolph St
302,M,3387,0,74,10.98127614,0,0,37.714443,-122.469998,0,141.38,141.38,16.46666667,6.983333333,6.983333333,M-OCEAN VIEW,19th&Randolph,68,170,19th Ave & Randolph St
