,ROUTE_SHORT_NAME,STOP_ID,DIR,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S,Route,STOP,Boardings,Alightings,STOP NAME
18,F,4001.0,0,46.22727272727273,0.0,0.0,37.742097,-122.426528,0.0,5.06,5.06,1.1,13.04,13.04,,,,,
19,F,4002.0,0,46.22727272727273,0.0,0.0,37.749388,-122.42728900000002,0.0,17.16,17.16,3.674000000000001,12.85,12.85,,,,,
20,F,4003.0,1,32.07272727272727,0.0,0.0,37.749182,-122.427122,0.0,17.16000000000001,17.16000000000001,3.6519999999999997,12.770000000000001,12.770000000000001,,,,,
21,F,4004.0,0,46.22727272727273,0.0,0.0,37.742811,-122.426654,0.0,31.459999999999997,31.459999999999997,6.357999999999998,12.13,12.13,,,,,
22,F,4501.0,1,8.062925170068027,0.0,0.0,37.806945,-122.406278,0.0,233.9,233.9,30.57600000000002,7.84,7.84,,,,,
23,F,4502.0,0,16.92385899814471,0.0,0.0,37.806629,-122.40603,0.0,264.07000000000005,264.07000000000005,40.425000000000004,9.19,9.19,,,,,
24,F,4503.0,1,8.062925170068027,0.0,0.0,37.799552,-122.397869,0.0,236.64,236.64,30.57600000000002,7.75,7.75,,,,,
25,F,4504.0,0,16.936992888064314,0.0,0.0,37.798901,-122.39743400000002,0.0,128.95000000000005,128.95000000000005,21.020999999999983,9.78,9.78,,,,,
26,F,4513.0,1,8.062925170068027,0.0,0.0,37.795105,-122.393861,0.0,120.37999999999994,120.37999999999994,12.642000000000001,6.3,6.3,,,,,
27,F,4515.0,1,8.062925170068027,0.0,0.0,37.803263,-122.401113,0.0,189.36000000000013,189.36000000000013,24.69600000000001,7.830000000000001,7.830000000000001,,,,,
28,F,4516.0,0,16.9305612244898,0.0,0.0,37.80296,-122.401029,0.0,172.65999999999997,172.65999999999997,27.783,9.65,9.65,,,,,
