,EDD_EMP_LOG_09,FREQ_S_LOG_09,EOL_SOL_09,HOUSING_09_DEN_LOG,SHR_INCOME_100P_09,PARK_HOURLY_AVG_ON_LOG_09,ONTIME5_09,AVG_BART_LOG_09,CLOSE_STOP_09,LIMITED_09,EXPRESS_09,TRANSBAY_09,MUNI_RAIL_AVG_09,EDD_EMP_LOG_16,FREQ_S_LOG_16,EOL_SOL_16,HOUSING_16_DEN_LOG,SHR_INCOME_100P_16,PARK_HOURLY_AVG_ON_LOG_16,ONTIME5_16,AVG_BART_LOG_16,CLOSE_STOP_16,LIMITED_16,EXPRESS_16,TRANSBAY_16,MUNI_RAIL_AVG_16
702,4.0943445622221,1.5392336537281246,0.0,6.167291668762395,0.544632439,0.0,0.624145255,0.0,1,0,0,0,0.0,3.7376696182833684,1.3534246899927602,0.0,6.168887144993354,0.6598676957001103,0.0,0.7032176621689978,0.0,1,0,0,0.0,0.0
703,3.091042453358316,1.5309005833926974,0.0,6.145078462045596,0.544632439,0.0,0.5985655120000001,0.0,1,0,0,0,0.0,3.258096538021482,1.5401328918282537,0.0,6.1481018778750185,0.6598676957001103,0.0,0.5900695922361351,0.0,1,0,0,0.0,0.0
704,4.700480365792417,1.5307823161099767,0.0,6.361824591852101,0.544632439,0.0,0.60668492,0.0,1,0,0,0,0.0,4.9344739331306915,1.5399129626112122,0.0,6.358667869624561,0.6598676957001103,0.0,0.5596345432232509,0.0,1,0,0,0.0,0.0
705,6.329720905522696,1.5307166212384529,0.0,6.315638387707741,0.35520918799999995,5.198497031265826,0.599369269,0.0,1,0,0,0,0.0,6.777646593635117,1.5397797085563671,0.0,6.322624193482206,0.5072105480016481,5.198497031265826,0.5653514643777271,0.0,1,0,0,0.0,0.0
706,6.329720905522696,1.290940243500314,0.0,6.315638387707741,0.35520918799999995,5.198497031265826,0.727564318,0.0,1,0,0,0,0.0,6.777646593635117,1.4271483247278502,0.0,6.322624193482206,0.5072105480016481,5.198497031265826,0.7933406399381605,0.0,1,0,0,0.0,0.0
707,3.9512437185814275,1.5392336537281246,0.0,6.210939555339144,0.544632439,0.0,0.636187564,0.0,1,0,0,0,0.0,4.02535169073515,1.3533978589114652,0.0,6.208837611977685,0.6598676957001103,0.0,0.7083732797549971,0.0,1,0,0,0.0,0.0
708,3.713572066704308,1.530834876602222,0.0,6.184135485486806,0.544632439,0.0,0.5942044129999999,0.0,1,0,0,0,0.0,3.6375861597263857,1.5400129211687033,0.0,6.182381186224398,0.6598676957001103,0.0,0.5614484791252282,0.0,1,0,0,0.0,0.0
709,6.104793232414985,1.5392336537281246,0.0,6.406809400574917,0.35520918799999995,5.236441962829949,0.65997078,0.0,1,0,0,0,0.0,6.428105272684596,1.3533266803287538,0.0,6.413286771551915,0.5072105480016481,5.236441962829949,0.7376973189060699,0.0,1,0,0,0.0,0.0
710,6.028278520230698,1.5307363289846427,0.0,6.41277196320825,0.544632439,0.0,0.576281198,0.0,1,0,0,0,0.0,6.293419278846481,1.5398196818906942,0.0,6.418845952815707,0.6598676957001103,0.0,0.5439139331339065,0.0,1,0,0,0.0,0.0
711,2.4849066497880004,1.3308018631946703,0.0,5.565249067073043,0.300970874,0.0,0.543830144,0.0,1,0,0,0,0.0,3.5263605246161616,1.3394589335456857,0.0,5.560654787770374,0.39735772357723576,0.0,0.617954678303842,0.0,1,0,0,0.0,0.0
712,3.1354942159291497,1.3308856066740227,0.0,5.58946871659097,0.326394671,0.0,0.51824455,0.0,1,0,0,0,0.0,4.382026634673881,1.3394189548143578,0.0,5.591025561466135,0.2954220314735336,0.0,0.6347948133627068,0.0,1,0,0,0.0,0.0
713,2.3978952727983707,1.3308469542898962,0.0,5.624086452907932,0.326394671,0.0,0.529525696,0.0,1,0,0,0,0.0,2.995732273553991,1.3394389438383854,0.0,5.62879567360074,0.2954220314735336,0.0,0.6220937053359686,0.0,1,0,0,0.0,0.0
714,3.2188758248682006,1.3307567756159668,0.0,5.3985179108216474,0.300970874,0.0,0.525980947,0.0,1,0,0,0,0.0,3.4339872044851463,1.339485587551689,0.0,5.400926508665172,0.39735772357723576,0.0,0.6154785770660246,0.0,1,0,0,0.0,0.0
715,3.2188758248682006,1.3300191724158819,0.0,5.413401597928316,0.300970874,0.0,0.602201932,0.0,1,0,0,0,0.0,3.4657359027997265,1.3405126914192842,0.0,5.414627763185878,0.39735772357723576,0.0,0.5878622108845929,0.0,1,0,0,0.0,0.0
716,3.295836866004329,1.3307567756159668,0.0,5.404633096143733,0.300970874,0.0,0.5272812929999999,0.0,1,0,0,0,0.0,3.6888794541139363,1.339485587551689,0.0,5.414758606620996,0.39735772357723576,0.0,0.6158530069467569,0.0,1,0,0,0.0,0.0
717,5.225746673713202,1.3275998122637493,0.0,5.399165424866965,0.24161950399999998,5.303304908059076,0.624070597,0.0,1,0,0,0,0.0,5.60947179518496,1.3392324235319255,0.0,5.399165425037042,0.2724107919930374,5.303304908059076,0.6425987787978739,0.0,1,0,0,0.0,0.0
718,5.19295685089021,1.3302803495547328,0.0,5.3913181134821535,0.24161950399999998,0.0,0.5754960379999999,0.0,1,0,0,0,0.0,5.497168225293202,1.3398055304099925,0.0,5.391318113332207,0.2724107919930374,0.0,0.5368756000360518,0.0,1,0,0,0.0,0.0
719,3.091042453358316,1.3277695946569614,0.0,4.918850583582326,0.24161950399999998,5.303304908059076,0.624601447,0.0,1,0,0,0,0.0,4.382026634673881,1.3393256817354675,0.0,4.92172319482214,0.2724107919930374,5.303304908059076,0.6278152731267631,0.0,1,0,0,0.0,0.0
