,ROUTE,STOP NAME,DIRECTION,STOP ID,STOP SEQ,Number of Trips in Time Period,Stop Latitude,Stop Longitude
265,N-Judah ,Judah St & 22nd Ave,INBOUND,5201,10,7,37.761536,-122.47986000000002
266,N-Judah ,Judah St & 23rd Ave,OUTBOUND,5202,29,12,37.761547,-122.48116999999999
268,N-Judah ,Judah St & 25th Ave,OUTBOUND,5203,30,12,37.76145,-122.4833
267,N-Judah ,Judah St & 25th Ave,INBOUND,5204,9,7,37.76137,-122.48356000000001
270,N-Judah ,Judah St & 28th Ave,OUTBOUND,5205,31,12,37.761309999999995,-122.48651000000001
269,N-Judah ,Judah St & 28th Ave,INBOUND,5206,8,7,37.76123,-122.48676
271,N-Judah ,Judah St & 31st Ave,INBOUND,5208,7,7,37.761105,-122.4895
272,N-Judah ,Judah St & 31st Ave,OUTBOUND,5207,32,12,37.761173,-122.48971999999999
273,N-Judah ,Judah St & 34th Ave,INBOUND,5210,6,7,37.760956,-122.4932
274,N-Judah ,Judah St & 34th Ave,OUTBOUND,5209,33,12,37.76103,-122.49293
276,N-Judah ,Judah St & 40th Ave,OUTBOUND,5211,35,12,37.760742,-122.49936000000001
275,N-Judah ,Judah St & 40th Ave,INBOUND,5212,4,7,37.76068,-122.49915
278,N-Judah ,Judah St & 43rd Ave,OUTBOUND,5213,36,12,37.7606,-122.50258000000001
277,N-Judah ,Judah St & 43rd Ave,INBOUND,5214,3,7,37.76052,-122.50283999999999
280,N-Judah ,Judah St & 46th Ave,OUTBOUND,5215,37,12,37.760490000000004,-122.50583
279,N-Judah ,Judah St & 46th Ave,INBOUND,5216,2,7,37.76039,-122.50606499999999
282,N-Judah ,Judah St & 9th Ave,OUTBOUND,5193,24,12,37.762226,-122.46668999999999
281,N-Judah ,Judah St & 9th Ave,INBOUND,5194,15,7,37.76214,-122.46631000000001
284,N-Judah ,Judah St & Funston Ave,OUTBOUND,5219,26,12,37.762077000000005,-122.47033
283,N-Judah ,Judah St & Funston Ave,INBOUND,5220,13,7,37.76195,-122.47057
286,N-Judah ,Judah St & Sunset Blvd,OUTBOUND,5224,34,12,37.760918,-122.49566999999999
