,BLOCKCE,BLOCKID10,COUNTYFP10,HOUSING16,PARTFLG,STATEFP10,TRACTCE10,geometry
34,7000,6.08E+13,75,0,N,6,35100,"POLYGON ((-122.495227 37.753414, -122.495297 37.753283, -122.495184 37.751651, -122.495098 37.751545, -122.49563 37.751527, -122.49576 37.75339, -122.495227 37.753414))"
35,3010,6.08E+13,75,56,N,6,15700,"POLYGON ((-122.452431 37.77794, -122.452234 37.776976, -122.453188 37.776853, -122.453385 37.77782699999999, -122.452431 37.77794))"
36,4000,6.08E+13,75,58,N,6,16500,"POLYGON ((-122.451358 37.775175, -122.451163 37.774249, -122.452813 37.774041, -122.453003 37.774971, -122.45281 37.774995, -122.451358 37.775175))"
37,4000,6.08E+13,75,65,N,6,15700,"POLYGON ((-122.44704 37.778622, -122.446846 37.777669, -122.447802 37.777546, -122.447998 37.778501, -122.44704 37.778622))"
38,1067,6.08E+13,75,0,N,6,980300,"POLYGON ((-122.453902 37.771054, -122.453801 37.771114, -122.453375 37.771164, -122.453307 37.7712, -122.453277 37.771248, -122.453271 37.771305, -122.453295 37.77139, -122.452554 37.771258, -122.452242 37.77123, -122.453782 37.77102199999999, -122.453902 37.771054))"
39,3002,6.08E+13,75,97,N,6,16600,"POLYGON ((-122.452055 37.770313, -122.451866 37.769379, -122.453537 37.769165, -122.453726 37.770098, -122.452055 37.770313))"
40,4003,6.08E+13,75,118,N,6,16600,"POLYGON ((-122.448768 37.770731, -122.448579 37.769798, -122.449645 37.769662, -122.450217 37.769589, -122.450408 37.770519, -122.448768 37.770731))"
41,1003,6.08E+13,75,209,N,6,17101,"POLYGON ((-122.445963 37.765216, -122.445838 37.764577, -122.446074 37.764188, -122.446101 37.764142, -122.446505 37.763708, -122.447199 37.767111, -122.446369 37.76722, -122.445963 37.765216))"
42,2001,6.08E+13,75,39,N,6,17102,"POLYGON ((-122.4496 37.764027, -122.449433 37.7632, -122.450874 37.763016, -122.451042 37.763843, -122.4496 37.764027))"
43,2007,6.08E+13,75,65,N,6,17101,"POLYGON ((-122.447975 37.762684, -122.44778 37.761726, -122.44912 37.761648, -122.449296 37.762519, -122.447975 37.762684))"
44,3008,6.08E+13,75,7,N,6,30102,"POLYGON ((-122.447229 37.759574, -122.447395 37.759373, -122.447682 37.75919, -122.44808 37.759091, -122.448535 37.759045, -122.448577 37.759649, -122.448154 37.759674, -122.447229 37.759574))"
45,1001,6.08E+13,75,99,N,6,20401,"POLYGON ((-122.445309 37.76188, -122.445357 37.761743, -122.445599 37.76121699999999, -122.445347 37.760813, -122.445309 37.760481, -122.446343 37.760411, -122.446394 37.760907, -122.446434 37.761007, -122.44641 37.761094, -122.44653 37.761396, -122.446783 37.761781, -122.446384 37.761816, -122.445309 37.76188))"
46,3006,6.08E+13,75,34,N,6,30102,"POLYGON ((-122.446395 37.758856, -122.446772 37.758454, -122.446958 37.75856, -122.447074 37.758897, -122.447025 37.758953, -122.446882 37.759116, -122.446871 37.759582, -122.446848 37.759811, -122.446859 37.76001, -122.446953 37.76017, -122.446866 37.760422, -122.446579 37.760902, -122.446434 37.761007, -122.446394 37.760907, -122.446343 37.760411, -122.446399 37.760013, -122.446413 37.759855, -122.446454 37.759047, -122.446395 37.758856))"
47,2013,6.08E+13,75,27,N,6,12402,"POLYGON ((-122.418043 37.777512, -122.419694 37.7773, -122.419638 37.777407, -122.419712 37.77777, -122.418139 37.777971, -122.418043 37.777512))"
48,2009,6.08E+13,75,28,N,6,17700,"POLYGON ((-122.416104 37.773532, -122.415561 37.773101, -122.416304 37.772456, -122.416913 37.772817, -122.416104 37.773532))"
49,2008,6.08E+13,75,16,N,6,17700,"POLYGON ((-122.415002 37.772649, -122.415073 37.772543, -122.415469 37.772192, -122.415634 37.772045, -122.416184 37.771413, -122.4169 37.771724, -122.416368 37.7724, -122.416304 37.772456, -122.415561 37.773101, -122.415002 37.772649))"
50,1014,6.08E+13,75,0,N,6,17700,"POLYGON ((-122.409077 37.76901, -122.409608 37.769111, -122.409399 37.76911399999999, -122.409567 37.769127, -122.410798 37.76932499999999, -122.410931 37.769411, -122.410835 37.769417, -122.410191 37.76931099999999, -122.409964 37.769274, -122.409085 37.769118, -122.40897 37.769098, -122.407874 37.768991, -122.407853 37.768951, -122.407848 37.768881, -122.407841 37.768774, -122.408438 37.768839, -122.409077 37.76901))"
51,5007,6.08E+13,75,180,N,6,17601,"POLYGON ((-122.406248 37.781306, -122.407691 37.780162, -122.408161 37.780535, -122.406711 37.78168, -122.406248 37.781306))"
52,1007,6.08E+13,75,127,N,6,17802,"POLYGON ((-122.407159 37.779739, -122.406628 37.779315, -122.406163 37.778943, -122.405615 37.778505, -122.40615 37.778082, -122.407691 37.779318, -122.407159 37.779739))"
53,1017,6.08E+13,75,50,N,6,17802,"POLYGON ((-122.40615 37.778082, -122.405951 37.778078, -122.404605 37.777009, -122.40461 37.776846, -122.404896 37.77662, -122.406436 37.777857, -122.40615 37.778082))"
54,1022,6.08E+13,75,42,N,6,17802,"POLYGON ((-122.409997 37.775893, -122.410503 37.77549399999999, -122.410611 37.775428, -122.411069 37.775794, -122.411606 37.776221, -122.411014 37.77668999999999, -122.409997 37.775893))"
55,1012,6.08E+13,75,57,N,6,17802,"POLYGON ((-122.40838 37.776318, -122.408846 37.775953, -122.408947 37.775873, -122.409498 37.776304, -122.410506 37.777092, -122.409923 37.777553, -122.408484 37.776396, -122.40838 37.776318))"
56,2006,6.08E+13,75,9,N,6,17700,"POLYGON ((-122.412751 37.770389, -122.413046 37.770052, -122.41354 37.770255, -122.41375 37.770347, -122.414344 37.77061, -122.414997 37.770896, -122.414526 37.771405, -122.412751 37.770389))"
57,2042,6.08E+13,75,0,N,6,17700,"POLYGON ((-122.415278 37.765003, -122.415251 37.764705, -122.415155 37.763697, -122.416227 37.763635, -122.416388 37.765249, -122.415308 37.765315, -122.415278 37.765003))"
58,2000,6.08E+13,75,121,N,6,20800,"POLYGON ((-122.417179 37.761968, -122.417026 37.760367, -122.418118 37.760301, -122.418271 37.761902, -122.417179 37.761968))"
59,2012,6.08E+13,75,33,N,6,25900,"POLYGON ((-122.410779 37.721227, -122.410486 37.720512, -122.411476 37.720252, -122.411973 37.721458, -122.411123 37.72168, -122.410779 37.721227))"
