,EDD_EMP,Total_Housing_Units,MUNI_RAIL_AVG,AVG_BART,SHR_INCOME_100P,PARK_HOURLY_AVG_ON,ONTIME5
2087,699,2444,0,0,0.518923849,0,0.731458886
2088,700,1628,0,0,0.587248322,0,0.748058543
2089,202,1628,0,0,0.587248322,0,0.741993687
2090,31,1628,0,0,0.587248322,0,0.748460683
2091,40,1628,0,0,0.587248322,0,0.753110439
2092,63,1628,0,0,0.587248322,0,0.756429686
2093,38,2595,0,0,0.354461042,0,0.777372954
2094,480,1628,0,0,0.587248322,0,0.740182941
2095,47,1628,0,0,0.587248322,0,0.75580887
2096,22,2405,0,0,0.430121528,0,0.426984795
2097,77,2037,0,0,0.429926238,0,0.662523621
2098,77,2037,0,0,0.429926238,0,0.414229716
2099,22,2037,0,0,0.429926238,0,0.409618754
2100,24,2037,0,0,0.429926238,0,0.705244823
2101,80,2405,0,0,0.430121528,0,0.442331169
2102,78,2037,0,0,0.429926238,0,0.732032307
2103,92,2405,0,0,0.430121528,0,0.436470175
2104,215,2405,0,0,0.430121528,0,0.449718979
2105,76,2037,0,0,0.429926238,0,0.731403862
2106,249,2037,0,0,0.429926238,0,0.74553695
2107,144,1575,0,0,0.625181951,0,0.872480513
2108,127,1356,0,0,0.551005212,200,0.666772959
2109,13,1356,0,0,0.551005212,0,0.853057144
2110,12,1356,0,0,0.551005212,0,0.674331538
2111,15,1356,0,0,0.551005212,0,0.671156935
2112,15,1356,0,0,0.551005212,0,0.823527711
2113,14,2405,0,0,0.430121528,0,0.680000472
2114,17,2405,0,0,0.430121528,0,0.825239621
2115,12,2405,0,0,0.430121528,0,0.680510676
2116,13,2405,0,0,0.430121528,0,0.816698898
2117,20,2405,0,0,0.430121528,0,0.811494374
2118,18,2037,0,0,0.429926238,0,0.680510676
2119,11,2037,0,0,0.429926238,0,0.431231836
2120,11,2037,0,0,0.429926238,0,0.652337224
2121,16,2405,0,0,0.430121528,0,0.681275983
2122,18,2405,0,0,0.430121528,0,0.828968982
2123,133,2585,150.5,5638,0.409546731,0,0.623780974
2124,133,2585,150.5,5638,0.409546731,0,0.563711768
2125,133,2585,150.5,5638,0.409546731,0,0.456519274
2126,125,2585,150.5,5638,0.409546731,0,0.671901987
2127,125,2585,150.5,5638,0.409546731,0,0.623789006
2128,125,2585,150.5,5638,0.409546731,0,0.786865079
2129,165,1978,0,5638,0.477737035,200,0.435086638
