,ROUTE_SHORT_NAME,DIR,STOPNAME,STOP_ID
381,10,1,Rhode Island St & 24th St  ,6198
1135,19,0,Rhode Island St & 24th St  ,6198
4197,48,1,Rhode Island St & 24th St  ,6198
382,10,1,Rhode Island St & 25th St  ,6199
1136,19,0,Rhode Island St & 25th St  ,6199
4198,48,1,Rhode Island St & 25th St  ,6199
4199,48,1,Rhode Island St & 26th St  ,6200
383,10,1,Rhode Island St & 26th St  ,6200
1137,19,0,Rhode Island St & 26th St  ,6200
293,10,0,Rhode Island St & Alameda St  ,6201
1138,19,0,Rhode Island St & Alameda St  ,6201
384,10,1,Rhode Island St & Alameda St  ,6202
1213,19,1,Rhode Island St & Alameda St  ,6202
1139,19,0,Rhode Island St & Mariposa St ,6203
4518,53,0,Rhode Island St & Southern Heights Ave,6204
1140,19,0,Rhode Island St & Southern Heights Ave,6204
2141,28,1,Richardson Ave & Francisco St ,6181
2101,28,0,Richardson Ave & Francisco St ,6182
6047,91,0,Richardson Ave & Francisco St ,6181
6157,91,1,Richardson Ave & Francisco St ,6182
5043,67,1,Ripley St & Alabama St  ,6209
4997,67,0,Ripley St & Alabama St  ,6208
5044,67,1,Ripley St & Folsom St  ,6211
4998,67,0,Ripley St & Folsom St  ,6210
4200,48,1,Rivera St & 37th Ave  ,6245
4201,48,1,Rivera St & 46th Ave  ,6246
4202,48,1,Rivera St & 48th Ave  ,6247
3146,37,0,Roosevelt Way & 14th St  ,6232
3147,37,0,Roosevelt Way & 15th St   ,6233
3194,37,1,Roosevelt Way & 17th St  ,6234
3148,37,0,Roosevelt Way & 17th St  ,6235
3149,37,0,Roosevelt Way & Clifford Ter ,6236
3195,37,1,Roosevelt Way & Clifford Ter  ,6237
3150,37,0,Roosevelt Way & Lower Ter  ,6239
3196,37,1,Roosevelt Way & Lower Ter   ,6238
3151,37,0,Roosevelt Way & Museum Way   ,6240
3152,37,0,Roosevelt Way&Buena Vista Ter,7310
3880,44,1,Rousseau St & Cayuga Ave   ,6212
4486,52,1,Rousseau St & Cayuga Ave   ,6212
4614,54,0,Russia Ave & Moscow St   ,6241
4713,54,1,Russia Ave & Moscow St   ,6242
4759,56,1,Rutland St & Arleta Ave,7039
6158,91,1,Rutland St & Arleta Ave,7039
6520,9X,1,Rutland St & Arleta Ave,7040
6366,9BX,1,Rutland St & Arleta Ave,7040
4760,56,1,Rutland St & Campbell Ave,7041
6367,9BX,1,Rutland St & Leland Ave  ,6243
6521,9X,1,Rutland St & Leland Ave  ,6243
6159,91,1,Rutland St & Leland Ave  ,6243
4736,56,0,Rutland St & Leland Ave  ,6243
4737,56,0,Rutland St & Sunnydale Ave,7044
4738,56,0,Rutland St & Visitacion Ave,7046
6522,9X,1,SAN BRUNO AVE & SOMERSET ST,7191
5927,90,1,SAN BRUNO AVE & SOMERSET ST,7191
5709,8X,1,SAN BRUNO AVE & SOMERSET ST,7191
4761,56,1,SAN BRUNO AVE & SOMERSET ST,7191
6269,9AX,1,SAN BRUNO AVE & SOMERSET ST,7191
5835,9,1,SAN BRUNO AVE & SOMERSET ST,7191
5505,8AX,1,SAN BRUNO AVE & SOMERSET ST,7191
1732,23,1,SLOAT BLVD & 47TH AVE,7208
1000,18,0,SLOAT BLVD & 47TH AVE,7208
6412,9L,1,SPEAR ST & MARKET ST,7184
1390,2,1,SPEAR ST & MARKET ST,7184
5836,9,1,SPEAR ST & MARKET ST,7184
5774,9,0,SUNNYDALE AVE/MCLAREN SCHOOL,6574
5837,9,1,SUNNYDALE AVE/MCLAREN SCHOOL,6575
3546,41,0,Sacramento St & Battery St  ,6290
5395,82X,1,Sacramento St & Battery St  ,6290
5375,82,1,Sacramento St & Battery St  ,6290
152,1,0,Sacramento St & Battery St  ,6290
5354,80X,1,Sacramento St & Battery St  ,6290
5348,80,1,Sacramento St & Battery St  ,6290
1417,20,0,Sacramento St & Battery St  ,6290
153,1,0,Sacramento St & Buchanan St  ,6291
222,1,1,Sacramento St & Buchanan St  ,6292
2906,33,1,Sacramento St & Cherry St  ,6293
2860,33,0,Sacramento St & Cherry St  ,6293
5376,82,1,Sacramento St & Davis St  ,6294
5355,80X,1,Sacramento St & Davis St  ,6294
5349,80,1,Sacramento St & Davis St  ,6294
1418,20,0,Sacramento St & Davis St  ,6294
154,1,0,Sacramento St & Davis St  ,6294
3547,41,0,Sacramento St & Davis St  ,6294
5396,82X,1,Sacramento St & Davis St  ,6294
223,1,1,Sacramento St & Fillmore St  ,6296
155,1,0,Sacramento St & Fillmore St  ,6295
156,1,0,Sacramento St & Franklin St  ,6297
157,1,0,Sacramento St & Gough St  ,6298
158,1,0,Sacramento St & Grant Ave  ,6299
159,1,0,Sacramento St & Hyde St  ,6300
160,1,0,Sacramento St & Jones St  ,6301
161,1,0,Sacramento St & Kearny St  ,6302
162,1,0,Sacramento St & Laguna St  ,6305
224,1,1,Sacramento St & Laguna St  ,6306
163,1,0,Sacramento St & Larkin St  ,6303
164,1,0,Sacramento St & Leavenworth St,6304
165,1,0,Sacramento St & Montgomery St ,6307
225,1,1,Sacramento St & Octavia St  ,6310
166,1,0,Sacramento St & Octavia St   ,6309
167,1,0,Sacramento St & Polk St  ,6311
168,1,0,Sacramento St & Powell St  ,6312
2477,3,1,Sacramento St & Presidio Ave  ,6313
169,1,0,Sacramento St & Sansome St  ,6314
170,1,0,Sacramento St & Sproule Ln  ,6315
