,EDD_EMP,MUNI_RAIL_AVG,AVG_BART,SHR_INCOME_100P,PARK_HOURLY_AVG_ON,ONTIME5,
44,52,0,0,0.398907104,0,0.291654098,
45,71,0,0,0.398907104,0,0.693739385,
46,71,0,0,0.398907104,0,0.74694924,
47,31,0,0,0.398907104,0,0.512862312,
48,31,0,0,0.398907104,0,0.277361201,
49,28,0,0,0.398907104,0,0.701431446,
50,28,0,0,0.398907104,0,0.761020869,
51,51,0,0,0.370505234,0,,
52,52,0,0,0.370505234,0,0.506539513,
53,52,0,0,0.370505234,0,0.265991367,
54,52,0,0,0.370505234,0,0.686098712,
55,52,0,0,0.370505234,0,0.562213507,
56,56,0,0,0.370505234,0,0.501983275,
57,56,0,0,0.370505234,0,0.272727454,
58,53,0,0,0.370505234,0,0.685276356,
59,53,0,0,0.370505234,0,0.549623749,
60,44,0,0,0.379049676,0,0.497432986,
61,44,0,0,0.379049676,0,0.268654772,
62,44,0,0,0.38807863,0,0.694091901,
63,44,0,0,0.38807863,0,0.540496579,
64,31,0,0,0.379049676,0,0.502387263,
65,31,0,0,0.379049676,0,0.252822383,
66,31,0,0,0.38807863,0,0.699281755,
67,31,0,0,0.38807863,0,0.549272238,
68,570,0,0,0.379049676,0,0.527436626,
69,570,0,0,0.379049676,0,0.249473734,
70,571,0,0,0.38807863,0,0.701252979,
71,571,0,0,0.38807863,0,0.547575287,
72,481,0,0,0.379049676,0,0.523254973,
73,481,0,0,0.379049676,0,0.246215589,
74,33,0,0,0.38807863,0,0.701630111,
75,33,0,0,0.38807863,0,0.492141564,
76,77,0,0,0.354140915,0,0.523627663,
77,77,0,0,0.354140915,0,0.247198204,
78,80,0,0,0.354140915,0,0.705194188,
79,80,0,0,0.354140915,0,0.51517161,
80,40,0,0,0.354140915,0,0.526068072,
81,40,0,0,0.354140915,0,0.237801945,
82,46,0,0,0.354140915,0,0.712912457,
83,46,0,0,0.354140915,0,0.55962687,
84,103,0,0,0.354140915,200,0.57822777,
85,103,0,0,0.354140915,200,0.727751966,
86,103,0,0,0.354140915,200,0.574454179,
87,104,0,0,0.354140915,200,0.73188843,
88,104,0,0,0.354140915,200,0.528740153,
