,ROUTE_SHORT_NAME,DIR,LOG_RIDERS_09,EDD_EMP_LOG_09,STOP_ID,AVG_RIDE_09,FREQ_S_LOG_09,EOL_SOL_09,HOUSING_09_DEN_LOG,SHR_INCOME_100P_09,PARK_HOURLY_AVG_ON_LOG_09,ONTIME5_09,AVG_BART_LOG_09,CLOSE_STOP_09,LIMITED_09,EXPRESS_09,ONTIME5.1,TRANSBAY_09,MUNI_RAIL_AVG_09,LOG_RIDERS_16,EDD_EMP_LOG_16,AVG_RIDE_16,FREQ_S_LOG_16,EOL_SOL_16,HOUSING_16_DEN_LOG,SHR_INCOME_100P_16,PARK_HOURLY_AVG_ON_LOG_16,ONTIME5_16,AVG_BART_LOG_16,CLOSE_STOP_16,LIMITED_16,EXPRESS_16,TRANSBAY_16,MUNI_RAIL_AVG_16
1064,41,0,3.2163920239999997,7.489412084,4101,23.93798204,1.349028278,0.0,7.320576526,0.23447118100000003,5.303304908,0.66451844,0.0,1,0,0,0.66451844,0,0.0,3.4500356912708154,7.615298339825815,30.501516617844505,1.5054863624791146,0.0,7.32057652617337,0.2302350427350427,5.303304908059076,0.5857674684165807,0.0,1,0,0,0.0,0.0
1065,41,1,3.5209316339999996,7.500529485,4102,32.81591786,1.439299406,0.0,7.3034927089999995,0.09798708699999999,5.707110265,0.587103004,0.0,1,0,0,0.587103004,0,0.0,3.975043666334121,7.530479995245536,52.25244219390045,1.584711103390744,0.0,7.303492709329213,0.13808738664468256,5.7071102647488745,0.735921969217082,0.0,1,0,0,0.0,0.0
1066,30,0,5.479228781000001,6.349138991,4103,238.6618043,1.788696483,0.0,6.610219947,0.248434238,5.303304908,0.664000299,0.0,0,0,0,0.664000299,0,0.0,5.11450452773555,6.688354713946763,165.41830489832554,2.0094157151931102,0.0,6.610136164095423,0.3552952659834065,5.303304908059076,0.4550051112984814,0.0,0,0,0,0.0,0.0
1067,30,1,5.0564325519999995,7.654917048,4105,156.029322,2.105895817,0.0,6.296589421,0.09798708699999999,5.303304908,0.783760408,0.0,1,0,0,0.783760408,0,0.0,4.712592553408584,7.904703913873748,110.34044209340747,2.0373611492264407,0.0,6.299812964465783,0.13808738664468256,5.303304908059076,0.6103399484369155,0.0,1,0,0,0.0,0.0
1068,91,0,0.656921744,7.654917048,4105,0.9288457059999999,1.098612289,0.0,6.296589421,0.09798708699999999,5.303304908,0.581006648,0.0,1,0,0,0.581006648,0,0.0,0.7670317512905737,7.904703913873748,1.1533650352935456,1.0986122886681098,0.0,6.299812964465783,0.13808738664468256,5.303304908059076,0.4762104841936775,0.0,1,0,0,0.0,0.0
1069,30,0,4.9485418139999995,6.3578422670000005,4106,139.9692545,1.788699494,0.0,6.146174855,0.248434238,5.303304908,0.6472936970000001,0.0,1,0,0,0.6472936970000001,0,0.0,4.675975435894962,7.007600613951852,106.3372166182495,2.009412086236128,0.0,6.146927171264554,0.3552952659834065,5.303304908059076,0.43267396198298735,0.0,1,0,0,0.0,0.0
1070,91,1,0.8741012840000001,6.3578422670000005,4106,1.396720355,1.170071253,0.0,6.146174855,0.248434238,5.303304908,0.33621381899999997,0.0,1,0,0,0.33621381899999997,0,0.0,0.4239730249594809,7.007600613951852,0.5280203748165933,1.0986122886681098,0.0,6.146927171264554,0.3552952659834065,5.303304908059076,0.5277884487128185,0.0,1,0,0,0.0,0.0
1071,30,1,4.98782174,6.139884552000001,4107,145.6167061,2.105673148,0.0,6.316022884,0.451887294,5.303304908,0.7650551870000001,0.0,1,0,0,0.7650551870000001,0,0.0,5.05956619033384,6.922643891475888,156.52216686049138,2.037392586395363,0.0,6.316185009912803,0.42906403940886695,5.303304908059076,0.6186895303037006,0.0,1,0,0,0.0,0.0
1072,91,0,0.794293844,6.139884552000001,4107,1.212877809,1.098612289,0.0,6.316022884,0.451887294,5.303304908,0.574596391,0.0,1,0,0,0.574596391,0,0.0,1.419876056822161,6.922643891475888,3.1366077041726497,1.0986122886681098,0.0,6.316185009912803,0.42906403940886695,5.303304908059076,0.5958174178762415,0.0,1,0,0,0.0,0.0
1073,41,0,4.248859266,7.495541944,4108,69.02548632,1.3486968940000001,0.0,7.11449587,0.23447118100000003,5.141663557,0.7061725329999999,0.0,1,0,0,0.7061725329999999,0,0.0,4.0099767543149465,7.751475318021456,54.14558865157849,1.5047814898091656,0.0,7.116114877866349,0.2302350427350427,5.14166355650266,0.5812985870075811,0.0,1,0,0,0.0,0.0
