,ROUTE_SHORT_NAME,DIR,LOG_RIDERS,EDD_EMP_LOG,STOP_ID,AVG_RIDE,FREQ_S_LOG,EOL_SOL,HOUSING_09_DEN_LOG,SHR_INCOME_100P,PARK_HOURLY_AVG_ON_LOG,ONTIME5,AVG_BART_LOG,CLOSE_STOP,LIMITED,EXPRESS,ONTIME5.1,TRANSBAY,MUNI_RAIL_AVG
2873,9AX,1,3.005507411,3.688879454,4891,19.1964614,1.967524107,0,5.596496664,0.271121352,0,0.803952206,0,1,0,1,0.803952206,0,0
2874,9BX,1,3.309314709,3.688879454,4891,26.36636513,1.986796347,0,5.596496664,0.271121352,0,0.857976974,0,1,0,1,0.857976974,0,0
2875,9X,1,5.397813117,3.688879454,4891,219.9227553,1.784237715,0,5.596496664,0.271121352,0,0.782615674,0,1,0,0,0.782615674,0,0
2876,43,1,4.54139697,4.700480366,4892,92.82177484,1.761492542,0,5.664045228,0.245283019,5.303304908,0.755773866,0,1,0,0,0.755773866,0,0
2877,54,0,3.262535162,4.700480366,4892,25.11566072,1.331232637,0,5.664045228,0.245283019,5.303304908,0.584792186,0,1,0,0,0.584792186,0,0
2880,91,0,1.335158091,4.700480366,4892,2.800596739,1.098612289,0,5.664045228,0.245283019,5.303304908,0.38708891,0,1,0,0,0.38708891,0,0
2881,9AX,0,2.452170637,4.700480366,4892,10.61352814,2.072898977,0,5.664045228,0.245283019,5.303304908,0.380553657,0,1,0,1,0.380553657,0,0
2882,9BX,0,2.805042467,4.700480366,4892,15.52777778,2.011474463,0,5.664045228,0.245283019,5.303304908,0.473767753,0,1,0,1,0.473767753,0,0
2883,9X,0,4.595919558,4.700480366,4892,98.07920276,1.864055134,0,5.664045228,0.245283019,5.303304908,0.581627184,0,1,0,0,0.581627184,0,0
2884,43,0,4.367399574,5.093750201,4893,77.83835164,1.744043972,0,5.682656042,0.245283019,5.303304908,0.604990261,0,1,0,0,0.604990261,0,0
2885,54,1,3.479198822,5.093750201,4893,31.43372646,1.330937147,0,5.682656042,0.245283019,5.303304908,0.590530861,0,1,0,0,0.590530861,0,0
2888,91,1,0.894104313,5.093750201,4893,1.445144725,1.098612289,0,5.682656042,0.245283019,5.303304908,0.493111319,0,1,0,0,0.493111319,0,0
2889,9AX,1,2.622791966,5.093750201,4893,12.77412684,1.969859044,0,5.682656042,0.245283019,5.303304908,0.803952206,0,1,0,1,0.803952206,0,0
2890,9BX,1,2.569824222,5.093750201,4893,12.06352796,1.98906192,0,5.682656042,0.245283019,5.303304908,0.835773026,0,1,0,1,0.835773026,0,0
2891,9X,1,5.218919844,5.093750201,4893,183.7345342,1.784237715,0,5.682656042,0.245283019,5.303304908,0.810406587,0,1,0,0,0.810406587,0,0
2894,91,0,0.436946732,2.48490665,4894,0.547973617,1.098612289,0,4.869723039,0.271121352,0,0.432684926,0,1,0,0,0.432684926,0,0
2895,9AX,0,2.676977158,2.48490665,4894,13.54107143,2.070930202,0,4.869723039,0.271121352,0,0.318204602,0,1,0,1,0.318204602,0,0
2896,9BX,0,3.031895815,2.48490665,4894,19.73650794,2.009656449,0,4.869723039,0.271121352,0,0.430012531,0,1,0,1,0.430012531,0,0
2897,9X,0,4.646850234,2.48490665,4894,103.2560856,1.86402907,0,4.869723039,0.271121352,0,0.575526978,0,1,0,0,0.575526978,0,0
2900,91,0,3.401270542,1.386294361,4896,29.0021949,1.098612289,1,4.128974631,0.299872123,0,0.424320988,9.37160852,1,0,0,0.424320988,0,1381
2901,91,1,2.912141954,2.302585093,4898,17.39616013,1.098612289,0,4.337951,0.299872123,0,0.590351696,9.37160852,1,0,0,0.590351696,0,1381
2904,9,0,4.558685587,4.343805422,4899,94.45792617,1.770010628,0,4.940796549,0.09939759,0,0.462418823,0,1,0,0,0.462418823,0,0
2907,91,0,2.396605605,4.356708827,4900,9.985822798,1.098612289,0,5.043421768,0.028835063,0,0.453393067,0,1,0,0,0.453393067,0,0
2908,9AX,0,4.007520102,4.356708827,4900,54.01028139,2.068012846,0,5.043421768,0.028835063,0,0.371297562,0,1,0,1,0.371297562,0,0
2909,9BX,0,3.602922716,4.356708827,4900,35.70535714,2.006961969,0,5.043421768,0.028835063,0,0.457163743,0,1,0,1,0.457163743,0,0
2910,9X,0,5.656628554,4.356708827,4900,285.1821667,1.863987802,0,5.043421768,0.028835063,0,0.608560903,0,1,0,0,0.608560903,0,0
